cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",bloomy,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"firm, smooth",washed,yellow,"acidic, buttery",aromatic,False,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,blue,nutty,"aromatic, floral, fruity",False,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,buttery,washed,yellow,"acidic, buttery",aromatic,False,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,white,nutty,"aromatic, floral, fruity",False,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",washed,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,True,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,brownish yellow,nutty,"aromatic, floral, fruity",False,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",leaf wrapped,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",mold ripened,brownish yellow,"smokey , tangy",smokey,True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"creamy, smooth",washed,yellow,"acidic, buttery",aromatic,False,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,True,False
Shredded Bliss,goat,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,False,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",leaf wrapped,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Shredded Bliss,"cow, sheep","Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",plastic,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,white,nutty,"aromatic, floral, fruity",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,rindless,ivory,nutty,"aromatic, floral, fruity",False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",edible,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",mold ripened,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",waxed,brownish yellow,"smokey , tangy",smokey,True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh firm, artisan",Medium,"creamy, stringy",rindless,white,"creamy, mild, salty",rich,True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"firm, smooth",washed,yellow,"acidic, buttery",aromatic,False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"open, smooth",washed,yellow,"acidic, buttery",aromatic,False,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"buttery, soft",washed,yellow,"acidic, buttery",aromatic,False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-soft, blue-veined",Medium,smooth,rindless,white,"buttery, nutty","buttery, spicy",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,bloomy,pale yellow,nutty,"aromatic, floral, fruity",False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",False,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Shredded Bliss,goat,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,pale yellow,nutty,"aromatic, floral, fruity",False,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"dense, elastic, stringy",washed,yellow,"acidic, buttery",aromatic,False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Meredith Chevre Plain,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"semi-hard, artisan",Medium,"creamy, firm, open, smooth",rindless,white,"fruity, full-flavored, mild, sweet","fruity, mild, milky, nutty, rich, yeasty",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"crumbly, firm",washed,yellow,"acidic, buttery",aromatic,False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,smooth,washed,yellow,"acidic, buttery",aromatic,False,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,washed,white,nutty,"aromatic, floral, fruity",False,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",mold ripened,brownish yellow,"smokey , tangy",smokey,False,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"compact, dense",washed,yellow,"acidic, buttery",aromatic,False,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,bloomy,ivory,nutty,"aromatic, floral, fruity",False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",plastic,brownish yellow,"smokey , tangy",smokey,False,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh soft, brined",Medium,"creamy, soft, spreadable",rindless,white,"caramel, nutty, sweet",fresh,True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,False,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",washed,brownish yellow,"smokey , tangy",smokey,False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,smooth,washed,yellow,"acidic, buttery",aromatic,False,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",natural,brownish yellow,"smokey , tangy",smokey,False,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Amul Pizza Mozzarella Cheese,cow,India,Mozzarella,"semi-soft, processed",Medium,"elastic, stringy",artificial,yellow,salty,pleasant,True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",natural,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,rindless,white,nutty,"aromatic, floral, fruity",False,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Smoked Fior Di Latte,cow,Italy,Mozzarella,semi-soft,Medium,"elastic, smooth",rindless,brownish yellow,"smokey , tangy",smokey,True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"fresh firm, artisan",Medium,crumbly,rindless,white,"milky, sharp, tangy","aromatic, herbal",True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Beehive Fresh,cow,United States,Mozzarella,"fresh soft, artisan",Medium,"buttery, soft",rindless,pale yellow,"buttery, mild","buttery, fresh, mild",True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Classics Fresh Mozzarella,cow,United States,Mozzarella,"soft, brined",Medium,"creamy, elastic, smooth, soft, stringy, supple",rindless,white,"acidic, mild, milky, spicy",fresh,True,False
Paesanella Buffalo Mozzarella,"buffalo, cow",Australia,Mozzarella,"soft, brined",Medium,"creamy, runny",rindless,white,"mild, nutty, sweet",mild,True,False
Bassigny au porto,cow,Belgium,Mozzarella,semi-soft,Medium,"creamy, smooth, soft, springy",washed,yellow,"acidic, buttery",aromatic,False,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Aphrodite Goat Milk Halloumi,goat,Cyprus,Mozzarella,"semi-soft, artisan",Medium,soft,rindless,white,"lemony, tangy",strong,False,False
Paesanella Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Paesanella Cherry Bocconcini,cow,Australia,Mozzarella,semi-soft,Medium,elastic,rindless,white,"creamy, salty, sweet","milky, sweet",True,False
Shredded Bliss,cow,"Canada, United States",Mozzarella,semi-soft,Medium,"elastic, smooth, springy, stringy",plastic,pale yellow,"mild, milky","fresh, mild",True,False
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",True,False
Beemster 2% Milk,cow,"Canada, Denmark, France, Germany, Netherlands, United States",Mozzarella,semi-soft,Medium,smooth,natural,pale yellow,nutty,"aromatic, floral, fruity",False,False
Burrata,water buffalo,"Italy, United States",Mozzarella,"fresh soft, artisan",Medium,"creamy, stringy",leaf wrapped,white,"buttery, milky","fresh, milky",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",washed,white,"buttery, milky, smooth","fresh, milky, rich, sweet",False,False
Paesanella Burrata,cow,Australia,Mozzarella,"fresh soft, artisan",Medium,"creamy, soft",bloomy,white,"buttery, milky, smooth","fresh, milky, rich, sweet",True,False
